model,type,capability,connectivities,apps,power_supplies
Gate Labs All-In-One Video Smart Lock,Smart Lock,Class 2,Wi-Fi,Google Home; Amazon Alexa; Gate Labs,Cell
Xfinity Home Security,Smart Security Alarm,Class 2,Wi-Fi; ZigBee,Xfinity Home,Plug
Fortress Security S03,Smart Security Alarm,Class 2,Wi-Fi,Smart Fortress,Plug
Kangaroo Home Security System,Smart Security Alarm,Class 2,Wi-Fi,Kangaroo: Simple Home Security,Cell
Ooma Smart Security,Smart Security Alarm,Class 2,Wi-Fi,Ooma Smart Security,Plug
Samsung SmartThings ADT Home Security,Smart Security Alarm,Class 2,Wi-Fi; ZigBee,SmartThings,Plug
TP-Link Kasa Spot Pan Tilt,Smart Security IP Camera,Class 2,Wi-Fi,Google Home; Amazon Alexa; Kasa Smart,Plug
Canary Flex HD,Smart Security IP Camera,Class 2,Wi-Fi,Canary,Battery
Netatmo Smart Indoor Camera,Smart Security IP Camera,Class 2,Wi-Fi,Google Home; Amazon Alexa; Apple HomeKit; Netatmo,Plug
Ezviz C6CN,Smart Security IP Camera,Class 2,Wi-Fi,Google Home; Amazon Alexa; Ezviz,Plug
SONOFF Slim Cam,Smart Security IP Camera,Class 2,Wi-Fi,Google Home; Amazon Alexa; eWeLink,Plug
Samsung QLED Q80A,Smart TV,Unconstrained,Wi-Fi; Bluetooth; Ethernet,,Plug
LG OLED C1,Smart TV,Unconstrained,Wi-Fi; Bluetooth; Ethernet,,Plug
Sony Bravia XR A90J,Smart TV,Unconstrained,Wi-Fi; Bluetooth; Ethernet,,Plug
TCL R648,Smart TV,Unconstrained,Wi-Fi; Bluetooth; Ethernet,,Plug
Hisense U8G,Smart TV,Unconstrained,Wi-Fi; Bluetooth; Ethernet,,Plug
OnePlus 10 Pro,Smartphone,Unconstrained,Wi-Fi; Bluetooth; 3G; 4G; 5G,,Battery; Plug
Oppo Find X5,Smartphone,Unconstrained,Wi-Fi; Bluetooth; 3G; 4G; 5G,,Battery; Plug
iPhone 15,Smartphone,Unconstrained,Wi-Fi; Bluetooth; 3G; 4G; 5G,,Battery; Plug
Sony Xperia 1 IV,Smartphone,Unconstrained,Wi-Fi; Bluetooth; 3G; 4G; 5G,,Battery; Plug
Motorola Edge 30 Ultra,Smartphone,Unconstrained,Wi-Fi; Bluetooth; 3G; 4G; 5G,,Battery; Plug
Xiaomi Pad 5,Tablet,Unconstrained,Wi-Fi; Bluetooth,,Battery; Plug
Alcatel 3T 10,Tablet,Unconstrained,Wi-Fi; Bluetooth,,Battery; Plug
LG G Pad 5,Tablet,Unconstrained,Wi-Fi; Bluetooth,,Battery; Plug
Chuwi Hi10 X,Tablet,Unconstrained,Wi-Fi; Bluetooth,,Battery; Plug
Lenovo Yoga Smart Tab,Tablet,Unconstrained,Wi-Fi; Bluetooth,,Battery; Plug
Samsung Galaxy Book Flex,Personal Computer,Unconstrained,Wi-Fi; Bluetooth; Ethernet,,Battery; Plug
Toshiba Dynabook Tecra A50,Personal Computer,Unconstrained,Wi-Fi; Bluetooth; Ethernet,,Battery; Plug
Huawei MateBook X,Personal Computer,Unconstrained,Wi-Fi; Bluetooth; Ethernet,,Battery; Plug
Gigabyte Aero 15,Personal Computer,Unconstrained,Wi-Fi; Bluetooth; Ethernet,,Battery; Plug
HP OMEN 15,Personal Computer,Unconstrained,Wi-Fi; Bluetooth; Ethernet,,Battery; Plug
Apple Watch Series 7,Smartwatch,Unconstrained,Wi-Fi; Bluetooth,,Battery
Garmin Fenix 7X Sapphire,Smartwatch,Unconstrained,Wi-Fi; Bluetooth,,Battery
Amazfit GTR 3,Smartwatch,Unconstrained,Wi-Fi; Bluetooth,,Battery
Amazfit Bip U Pro,Smartwatch,Unconstrained,Wi-Fi; Bluetooth,,Battery
Amazfit T-Rex Pro,Smartwatch,Unconstrained,Wi-Fi; Bluetooth,,Battery
Yale Sync Smart Home Alarm,Smart Security Hub,Unconstrained,Wi-Fi,Amazon Alexa; Yale Access,Battery; Plug
Ring Alarm Base Station,Smart Security Hub,Unconstrained,Wi-Fi; Z-Wave,Amazon Alexa; Ring,Battery; Plug
Ring Alarm Security Kit,Smart Security Hub,Unconstrained,Wi-Fi; Z-Wave,Amazon Alexa; Ring,Battery; Plug
Alder Home Security System,Smart Security Hub,Unconstrained,Wi-Fi; 3G; 4G,Alder,Battery; Plug
Blue by ADT Home Security Hub,Smart Security Hub,Unconstrained,Wi-Fi; Bluetooth; Z-Wave,ADT Control,Battery; Plug
Haier Smart Wine Cooler,Smart Appliance,Class 2,Wi-Fi,Haier Smart Home,Plug
Beko Connected Refrigerator,Smart Appliance,Class 2,Wi-Fi,IFTTT; Beko HomeWhiz,Plug
Hisense Smart Dehumidifier,Smart Appliance,Class 2,Wi-Fi,Hisense Smart Home,Plug
Hoover Smart Washing Machine,Smart Appliance,Class 2,Wi-Fi,Hoover Wizard,Plug
Hotpoint Smart Dishwasher,Smart Appliance,Class 2,Wi-Fi,Hotpoint HomeNet,Plug
Hubitat Elevation C-7,Home Assistant Hub,Unconstrained,Wi-Fi; Z-Wave; ZigBee,Hubitat Elevation,Plug
Google Nest Hub Max,Home Assistant Hub,Unconstrained,Wi-Fi; Bluetooth,Google Home; Nest,Plug
Amazon Echo Show 15,Home Assistant Hub,Unconstrained,Wi-Fi; Bluetooth; ZigBee,Amazon Alexa,Plug
Xiaomi Smart Home Hub 2,Home Assistant Hub,Unconstrained,Wi-Fi; Bluetooth; ZigBee,Mi Home,Plug
Xiaomi Mi Smart Home Hub,Home Assistant Hub,Unconstrained,Wi-Fi; Bluetooth; ZigBee,Mi Home,Plug
Lenovo ThinkSystem SR650,Network Attached Storage (NAS),Unconstrained,Ethernet; Dedicated Wiring,,Plug
D-Link DNS-340L,Network Attached Storage (NAS),Unconstrained,Ethernet; Dedicated Wiring,,Plug
Promise Apollo Cloud 2 Duo,Network Attached Storage (NAS),Unconstrained,Ethernet; Dedicated Wiring,,Plug
Thecus N2810,Network Attached Storage (NAS),Unconstrained,Ethernet; Dedicated Wiring,,Plug
Fujitsu CELVIN NAS Q805,Network Attached Storage (NAS),Unconstrained,Ethernet; Dedicated Wiring,,Plug
iPhone 7,Smartphone,Unconstrained,Wi-Fi; Bluetooth; 3G; 4G,,Battery; Plug
Vera Plus,Home Assistant Hub,Unconstrained,Wi-Fi; Bluetooth; Z-Wave; ZigBee,,Plug
Cisco Catalyst 3850 24,Switch,Class 2,Ethernet,,Plug
Asus RT N12,Router,Unconstrained,Wi-Fi; Ethernet,,Plug
Gigamon G TAP,Switch,Class 2,Ethernet,,Plug
Raspberry Pi 4,Personal Computer,Unconstrained,Wi-Fi; Bluetooth; Ethernet,,Plug
Netgear GS308,Switch,Class 2,Ethernet,,Plug
Arlo Base,Home Assistant Hub,Unconstrained,Wi-Fi; Bluetooth; Z-Wave; ZigBee,Google Home; Amazon Alexa; Apple HomeKit; Arlo,Plug
Eufy Homebase 2,Home Assistant Hub,Unconstrained,Wi-Fi; Bluetooth; Z-Wave; ZigBee,Google Home; Amazon Alexa; Eufy Security,Plug
Phillips Hue Bridge,Bridge,Class 2,Bluetooth; Z-Wave; ZigBee,Google Home; Amazon Alexa; Philips Hue,Plug
Arlo Ultra 2,Smart Security IP Camera,Class 2,Wi-Fi; Z-Wave; ZigBee,Google Home; Amazon Alexa; Arlo,Battery; Plug
Eufy Doorbell Camera,Smart Security IP Camera,Class 2,Wi-Fi; Z-Wave; ZigBee,Google Home; Amazon Alexa; Eufy Security,Battery
Phillips Hue White,Smart Bulb,Class 2,Wi-Fi; Z-Wave; ZigBee,Google Home; Amazon Alexa; Philips Hue,Plug
SmartThings Bulb,Smart Bulb,Class 2,Wi-Fi; Z-Wave; ZigBee,SmartThings; Google Home; Amazon Alexa,Plug
Fibaro Home Center Lite,Home Assistant Hub,Unconstrained,Wi-Fi; Z-Wave,SmartThings; Google Home; Amazon Alexa,Plug
Ring Base Station,Smart Security Hub,Unconstrained,Wi-Fi; Bluetooth; Z-Wave; Ethernet,Amazon Alexa; IFTTT; Ring,Battery; Plug
Fibaro Wall Plug,Smart Energy Management Device,Class 2,Z-Wave; ZigBee,SmartThings; Google Home; Amazon Alexa; IFTTT; Fibaro Home Center,Plug
Fibaro Motion Sensor,High-End Sensor,Class 2,Bluetooth; Z-Wave; ZigBee,SmartThings; Google Home; Amazon Alexa; IFTTT; Fibaro Home Center,Cell
Fibaro Flood Sensor,High-End Sensor,Class 2,Bluetooth; Z-Wave; ZigBee,SmartThings; Google Home; Amazon Alexa; IFTTT; Fibaro Home Center,Cell; Plug
Fibaro Door/Window Sensor,High-End Sensor,Class 2,Bluetooth; Z-Wave; ZigBee,SmartThings; Google Home; Amazon Alexa; IFTTT; Fibaro Home Center,Cell
Ring Keypad,Smart Security Alarm,Class 2,Z-Wave; ZigBee,Amazon Alexa; Ring,Battery; Plug
Ring Range Extender,Repeater,Class 2,Z-Wave; ZigBee,Ring,Battery; Plug
Ring Contact Sensor,High-End Sensor,Class 2,Z-Wave; ZigBee,Amazon Alexa; Ring,Cell
SmartThings Smart Hub,Home Assistant Hub,Unconstrained,Wi-Fi; Bluetooth; Z-Wave; ZigBee,SmartThings; Google Home; Amazon Alexa; IFTTT,Plug
Aeotec Water Leak Sensor,High-End Sensor,Class 2,Z-Wave; ZigBee,SmartThings; Google Home; Amazon Alexa; Aeotec,Cell
Aeotec Multipurpose Sensor,High-End Sensor,Class 2,Z-Wave; ZigBee,Aeotec,Cell
Aeotec Motion Sensor,High-End Sensor,Class 2,Z-Wave; ZigBee,SmartThings; Google Home; Amazon Alexa; Aeotec,Cell
Aeotec Button,High-End Sensor,Class 1,Z-Wave; ZigBee,SmartThings; Google Home; Amazon Alexa; Aeotec,Cell
SmartThings Button,High-End Sensor,Class 1,Z-Wave; ZigBee,SmartThings; Google Home; Amazon Alexa; IFTTT,Cell
SmartThings Bulb,Smart Bulb,Class 2,Z-Wave; ZigBee,SmartThings; Google Home; Amazon Alexa; IFTTT,Plug
Sonoff Smart Plug,Smart Energy Management Device,Class 2,Wi-Fi; Z-Wave; ZigBee,Google Home; Amazon Alexa; IFTTT; eWeLink,Plug
Sengled Smart Plug,Smart Energy Management Device,Class 2,Wi-Fi; Z-Wave; ZigBee,Google Home; Amazon Alexa; Sengled,Plug
Aeotec Trisensor,High-End Sensor,Class 2,Z-Wave; ZigBee,SmartThings; Google Home; Amazon Alexa; Aeotec,Cell
Aeotec Nanomode Quad,Smart Appliance,Class 2,Z-Wave; ZigBee,SmartThings; Google Home; Amazon Alexa; Aeotec,Cell
Aeotec Indoor Siren,Smart Security Alarm,Class 2,Z-Wave; ZigBee,SmartThings; Google Home; Amazon Alexa; Aeotec,Cell; Plug
Aeotec Doorbell 6,Smart Lock,Class 2,Wi-Fi; Bluetooth; Z-Wave; ZigBee,SmartThings; Google Home; Amazon Alexa; IFTTT; Aeotec,Plug
Aeotec Smart Switch 7,Smart Energy Management Device,Class 2,Z-Wave; ZigBee,SmartThings; Google Home; Amazon Alexa; Aeotec,Plug
Aeotec Door/ Window Sensor 7 Pro,High-End Sensor,Class 2,Z-Wave; ZigBee,SmartThings; Google Home; Amazon Alexa; Aeotec,Cell
Aeotec Temperatura and Humidity Sensor,High-End Sensor,Class 2,Z-Wave; ZigBee,SmartThings; Google Home; Amazon Alexa; Aeotec,Cell
Aeotec Water Sensor 6,High-End Sensor,Class 2,Z-Wave; ZigBee,SmartThings; Google Home; Amazon Alexa; Aeotec,Cell
Amazon Echo Spot,Home Assistant Hub,Unconstrained,Wi-Fi; Bluetooth,Amazon Alexa,Plug
Amazon Echo Studio,Home Assistant Hub,Unconstrained,Wi-Fi; Bluetooth,Amazon Alexa,Plug
HeimVision HM2023,Smart Security IP Camera,Class 2,Wi-Fi,HeimVision,Plug
Globe Electric Lamp,Smart Bulb,Class 2,Wi-Fi,Google Home; Amazon Alexa; Globe,Plug
Arlo Q,Smart Security IP Camera,Class 2,Wi-Fi,Amazon Alexa; IFTTT; Arlo,Battery; Plug
Borun Spy Camera,Smart Security IP Camera,Class 2,Wi-Fi,Borun,Battery; Plug
Dlink Mini Camera,Smart Security IP Camera,Class 2,Wi-Fi,Google Home; Amazon Alexa; MyDlink,Plug
HomeEye Camera,Smart Security IP Camera,Class 2,Wi-Fi,HomeEye,Plug
Rbcior Indoor Camera,Smart Security IP Camera,Class 2,Wi-Fi,Amazon Alexa,Plug
Harman Kardon Allure,Smart Appliance,Unconstrained,Wi-Fi; Bluetooth,Google Home; Amazon Alexa; Harman Kardon,Plug
Sonos One,Smart Appliance,Unconstrained,Wi-Fi; Ethernet,Google Home; Amazon Alexa; Sonos,Plug
Yi Outdoor Camera,Smart Security IP Camera,Class 2,Wi-Fi,Google Home; Amazon Alexa; Yi,Plug
Samsung 55S95D,Smart TV,Unconstrained,Wi-Fi; Ethernet; Bluetooth,,Plug
Amcrest 2K Camera,Smart Security IP Camera,Class 2,Wi-Fi,Google Home; Amazon Alexa; Amcrest View,Plug
Luohe Hidden Camera,Smart Security IP Camera,Class 2,Wi-Fi,Luohe,Plug
Google Nest Indoor Cam,Smart Security IP Camera,Class 2,Wi-Fi,Google Home; Nest,Plug
Netatmo Welcome,Smart Security IP Camera,Class 2,Wi-Fi,Amazon Alexa; IFTTT; Netatmo,Plug
Simcam AI01,Smart Security IP Camera,Class 2,Wi-Fi,Simcam,Plug
Amazon Smart Plug,Smart Energy Management Device,Class 2,,Amazon Alexa,Plug
GoSund WP9 PowerStrip,Smart Energy Management Device,Class 2,Wi-Fi,Google Home; Amazon Alexa; GoSund,Plug
Atomi Coffe Maker,Smart Appliance,Unconstrained,Wi-Fi,Google Home; Amazon Alexa; Atomi,Plug
GoSund WP2,Smart Energy Management Device,Class 2,Wi-Fi,Google Home; Amazon Alexa; GoSund,Plug
GoSund W3,Smart Energy Management Device,Class 2,Wi-Fi,Google Home; Amazon Alexa; GoSund,Plug
Teckin SP10,Smart Energy Management Device,Class 2,Wi-Fi,Google Home; Amazon Alexa; Smart Life,Plug
Tapo C200,Smart Security IP Camera,Class 2,Wi-Fi,Google Home; Amazon Alexa; Tapo,Plug
Yutron YSP-10A,Smart Energy Management Device,Class 2,Wi-Fi,Google Home; Amazon Alexa; Yutron,Plug
Wemo Mini Smart Plug,Smart Energy Management Device,Class 2,Wi-Fi,Google Home; Amazon Alexa; WeMo,Plug
Lepro LampUX RGB,Smart Bulb,Class 2,Wi-Fi,Google Home; Amazon Alexa; Lepro,Plug
Netatmo Weather Station,Smart Appliance,Unconstrained,Wi-Fi,Google Home; Amazon Alexa; IFTTT; Apple HomeKit; Netatmo,Plug
Teckin Light Strip,Smart Bulb,Class 2,Wi-Fi,Google Home; Amazon Alexa; Smart Life,Plug
GoSund Bulb,Smart Bulb,Class 2,Wi-Fi,Google Home; Amazon Alexa; GoSund,Plug
Lumiman Bulb,Smart Bulb,Class 2,Wi-Fi,Google Home; Amazon Alexa; Lumiman,Plug
iRobot Roomba i3+,Smart Appliance,Unconstrained,Wi-Fi,Google Home; Amazon Alexa; iRobot HOME,Battery
SMART Board 6075S,Smart TV,Unconstrained,Wi-Fi; Ethernet,,Plug
LG WebOs OLED GXPUA,Smart TV,Unconstrained,Wi-Fi; Bluetooth; Ethernet,,Plug
Smart Cocoon Vent Fan,Smart Appliance,Class 2,Wi-Fi,Google Home; Amazon Alexa; Smart Cocoon,Plug
HeimVision Wake-Up Light,Smart Bulb,Class 2,Wi-Fi,HeimVision,Plug
Govee Smart Humidifier,Smart Appliance,Class 2,Wi-Fi,Google Home; Amazon Alexa; Govee Home,Plug
Levoit Air Purifier,Smart Appliance,Class 2,Wi-Fi,Google Home; Amazon Alexa; Levoit,Plug
Yi Indoor Camera,Smart Security IP Camera,Class 2,Wi-Fi,Google Home; Amazon Alexa; Yi,Plug
LG OLED55C44LA,Smart TV,Unconstrained,Wi-Fi; Ethernet; Bluetooth,,Plug
